Open Time,Open,High,Low,Close,Volume
2024-10-26 23:30:00,67118.76000000,67149.53000000,67099.90000000,67126.00000000,27.63942000
2024-10-26 23:45:00,67126.00000000,67126.01000000,67084.00000000,67092.76000000,60.49347000
2024-10-27 00:00:00,67092.76000000,67118.12000000,67033.00000000,67033.01000000,39.59606000
2024-10-27 00:15:00,67033.00000000,67100.00000000,67010.00000000,67074.00000000,41.77486000
2024-10-27 00:30:00,67074.00000000,67083.41000000,67036.86000000,67062.00000000,27.79950000
2024-10-27 00:45:00,67062.00000000,67062.01000000,66974.00000000,67014.85000000,101.31258000
2024-10-27 01:00:00,67014.85000000,67015.14000000,66951.93000000,66951.94000000,37.49642000
2024-10-27 01:15:00,66951.93000000,67011.59000000,66913.73000000,66981.73000000,79.82712000
2024-10-27 01:30:00,66981.74000000,67086.34000000,66960.00000000,66993.11000000,102.23397000
2024-10-27 01:45:00,66993.11000000,67127.49000000,66982.00000000,67074.94000000,62.01726000
2024-10-27 02:00:00,67074.94000000,67116.44000000,67054.42000000,67098.01000000,61.24913000
2024-10-27 02:15:00,67098.01000000,67098.01000000,67031.06000000,67031.07000000,18.46106000
2024-10-27 02:30:00,67031.06000000,67073.42000000,67031.06000000,67057.48000000,37.69112000
2024-10-27 02:45:00,67057.48000000,67057.49000000,67024.32000000,67054.00000000,25.74703000
2024-10-27 03:00:00,67054.00000000,67073.95000000,67000.00000000,67063.44000000,56.22649000
2024-10-27 03:15:00,67063.44000000,67190.00000000,67063.44000000,67190.00000000,111.97640000
2024-10-27 03:30:00,67189.99000000,67229.98000000,67160.00000000,67185.94000000,73.48113000
2024-10-27 03:45:00,67185.94000000,67325.46000000,67185.94000000,67289.57000000,109.15156000
2024-10-27 04:00:00,67289.57000000,67317.78000000,67239.90000000,67239.90000000,67.51889000
2024-10-27 04:15:00,67239.90000000,67262.00000000,67217.50000000,67241.47000000,36.20607000
2024-10-27 04:30:00,67241.46000000,67241.47000000,67150.00000000,67150.01000000,39.96732000
2024-10-27 04:45:00,67150.00000000,67187.02000000,67120.00000000,67160.00000000,38.46322000
2024-10-27 05:00:00,67160.00000000,67199.26000000,67149.79000000,67199.26000000,52.62619000
2024-10-27 05:15:00,67199.27000000,67202.22000000,67164.48000000,67187.61000000,42.51759000
2024-10-27 05:30:00,67187.61000000,67213.99000000,67154.03000000,67213.99000000,47.33031000
2024-10-27 05:45:00,67213.98000000,67213.99000000,67176.22000000,67181.82000000,75.22025000
2024-10-27 06:00:00,67181.81000000,67181.82000000,67144.37000000,67147.65000000,39.07089000
2024-10-27 06:15:00,67147.65000000,67152.00000000,67133.90000000,67147.99000000,16.84505000
2024-10-27 06:30:00,67147.99000000,67167.43000000,67130.91000000,67136.01000000,30.00405000
2024-10-27 06:45:00,67136.00000000,67186.00000000,67128.00000000,67186.00000000,24.40858000
2024-10-27 07:00:00,67186.00000000,67221.20000000,67185.43000000,67221.20000000,65.21666000
2024-10-27 07:15:00,67221.19000000,67230.67000000,67184.94000000,67189.99000000,39.40970000
2024-10-27 07:30:00,67189.99000000,67196.53000000,67184.94000000,67196.00000000,23.69076000
2024-10-27 07:45:00,67195.99000000,67218.00000000,67195.99000000,67204.01000000,30.45829000
2024-10-27 08:00:00,67204.00000000,67254.50000000,67204.00000000,67250.01000000,64.26524000
2024-10-27 08:15:00,67250.00000000,67266.49000000,67215.49000000,67215.49000000,49.72340000
2024-10-27 08:30:00,67215.49000000,67228.00000000,67168.50000000,67174.01000000,34.87646000
2024-10-27 08:45:00,67174.00000000,67229.60000000,67170.19000000,67226.00000000,56.61132000
2024-10-27 09:00:00,67226.00000000,67226.00000000,67145.00000000,67145.00000000,68.76698000
2024-10-27 09:15:00,67145.01000000,67180.00000000,67136.61000000,67152.00000000,134.67734000
2024-10-27 09:30:00,67152.00000000,67152.00000000,67101.04000000,67126.00000000,72.02235000
2024-10-27 09:45:00,67126.00000000,67149.45000000,67110.20000000,67149.45000000,33.84293000
2024-10-27 10:00:00,67149.44000000,67194.00000000,67132.53000000,67176.18000000,82.44114000
2024-10-27 10:15:00,67176.18000000,67176.19000000,67094.00000000,67121.21000000,102.14199000
2024-10-27 10:30:00,67121.21000000,67140.00000000,67084.01000000,67084.01000000,38.46888000
2024-10-27 10:45:00,67084.01000000,67096.94000000,67072.64000000,67088.00000000,56.39393000
2024-10-27 11:00:00,67088.00000000,67095.63000000,67036.85000000,67062.00000000,74.26884000
2024-10-27 11:15:00,67062.00000000,67145.00000000,67061.99000000,67138.00000000,69.93321000
2024-10-27 11:30:00,67137.99000000,67185.03000000,67132.00000000,67149.18000000,117.25083000
2024-10-27 11:45:00,67149.18000000,67163.11000000,67118.00000000,67128.04000000,33.74339000
2024-10-27 12:00:00,67128.03000000,67189.06000000,67121.45000000,67189.05000000,39.64508000
2024-10-27 12:15:00,67189.05000000,67412.00000000,67189.05000000,67369.65000000,168.46693000
2024-10-27 12:30:00,67369.66000000,67500.00000000,67369.66000000,67408.00000000,254.15230000
2024-10-27 12:45:00,67407.99000000,67434.67000000,67350.00000000,67400.00000000,105.93114000
2024-10-27 13:00:00,67399.99000000,67642.67000000,67396.00000000,67606.07000000,287.19143000
2024-10-27 13:15:00,67606.06000000,67776.99000000,67606.06000000,67664.25000000,191.96372000
2024-10-27 13:30:00,67664.25000000,67706.00000000,67599.97000000,67672.00000000,113.74040000
2024-10-27 13:45:00,67672.00000000,67713.83000000,67583.12000000,67616.00000000,109.31634000
2024-10-27 14:00:00,67616.00000000,67740.00000000,67608.00000000,67632.58000000,94.26571000
2024-10-27 14:15:00,67632.58000000,67703.98000000,67628.63000000,67682.78000000,81.57787000
2024-10-27 14:30:00,67682.78000000,67750.00000000,67643.47000000,67717.51000000,113.87227000
2024-10-27 14:45:00,67717.52000000,67730.32000000,67654.00000000,67695.99000000,64.48700000
2024-10-27 15:00:00,67696.00000000,67844.00000000,67695.99000000,67742.00000000,120.59120000
2024-10-27 15:15:00,67742.00000000,67778.00000000,67696.96000000,67720.00000000,151.54990000
2024-10-27 15:30:00,67719.99000000,67800.29000000,67693.72000000,67798.04000000,72.67006000
2024-10-27 15:45:00,67798.04000000,67858.00000000,67740.00000000,67791.99000000,92.06991000
2024-10-27 16:00:00,67792.00000000,67855.67000000,67780.00000000,67841.48000000,127.25641000
2024-10-27 16:15:00,67841.48000000,67878.79000000,67668.77000000,67689.99000000,124.37495000
2024-10-27 16:30:00,67689.99000000,67739.83000000,67662.00000000,67739.82000000,95.59708000
2024-10-27 16:45:00,67739.82000000,67838.50000000,67736.05000000,67828.00000000,74.49975000
2024-10-27 17:00:00,67828.00000000,67840.00000000,67769.13000000,67803.00000000,101.06805000
2024-10-27 17:15:00,67803.00000000,67828.00000000,67722.56000000,67759.37000000,74.90916000
2024-10-27 17:30:00,67759.37000000,68000.00000000,67759.37000000,67850.01000000,305.95045000
2024-10-27 17:45:00,67850.00000000,67850.00000000,67742.23000000,67759.70000000,78.03061000
2024-10-27 18:00:00,67759.70000000,67771.51000000,67649.50000000,67668.32000000,87.75235000
2024-10-27 18:15:00,67668.32000000,67689.99000000,67618.71000000,67686.45000000,91.20601000
2024-10-27 18:30:00,67686.46000000,67720.00000000,67649.18000000,67695.17000000,56.87723000
2024-10-27 18:45:00,67695.16000000,67695.17000000,67540.88000000,67560.00000000,145.89085000
2024-10-27 19:00:00,67560.00000000,67632.00000000,67554.00000000,67597.99000000,57.38941000
2024-10-27 19:15:00,67598.00000000,67834.73000000,67577.25000000,67801.24000000,113.62967000
2024-10-27 19:30:00,67801.24000000,67848.49000000,67752.15000000,67805.80000000,65.14340000
2024-10-27 19:45:00,67805.79000000,67850.00000000,67783.80000000,67850.00000000,37.10394000
2024-10-27 20:00:00,67850.00000000,67871.79000000,67799.90000000,67818.18000000,51.94086000
2024-10-27 20:15:00,67818.18000000,67887.99000000,67818.18000000,67887.98000000,53.90234000
2024-10-27 20:30:00,67887.98000000,67921.26000000,67826.00000000,67839.41000000,60.79886000
2024-10-27 20:45:00,67839.41000000,67839.41000000,67688.09000000,67762.01000000,114.86508000
2024-10-27 21:00:00,67762.00000000,67810.00000000,67740.10000000,67777.53000000,44.80553000
2024-10-27 21:15:00,67777.54000000,67953.99000000,67770.09000000,67953.98000000,54.42156000
2024-10-27 21:30:00,67953.98000000,68000.00000000,67886.53000000,68000.00000000,106.42493000
2024-10-27 21:45:00,67999.99000000,68195.11000000,67828.00000000,67930.01000000,340.26341000
2024-10-27 22:00:00,67930.02000000,68293.32000000,67930.02000000,68242.00000000,576.56161000
2024-10-27 22:15:00,68242.00000000,68300.41000000,68108.00000000,68300.40000000,207.69142000
2024-10-27 22:30:00,68300.40000000,68332.05000000,68150.00000000,68232.37000000,129.12190000
2024-10-27 22:45:00,68232.37000000,68232.37000000,68120.00000000,68124.00000000,56.19306000
2024-10-27 23:00:00,68124.00000000,68290.00000000,68124.00000000,68242.45000000,145.47655000
2024-10-27 23:15:00,68242.45000000,68264.34000000,68044.00000000,68075.80000000,125.68004000
2024-10-27 23:30:00,68075.79000000,68120.00000000,68010.00000000,68046.49000000,68.25067000
2024-10-27 23:45:00,68046.49000000,68065.87000000,67988.00000000,68021.70000000,74.20378000
2024-10-28 00:00:00,68021.69000000,68108.04000000,67966.02000000,68057.98000000,175.02728000
2024-10-28 00:15:00,68057.98000000,68116.78000000,68006.47000000,68045.21000000,84.64719000
2024-10-28 00:30:00,68045.21000000,68058.99000000,67885.27000000,67886.00000000,151.68953000
2024-10-28 00:45:00,67886.01000000,67956.01000000,67839.90000000,67859.91000000,143.99512000
2024-10-28 01:00:00,67859.90000000,67907.20000000,67815.00000000,67890.96000000,76.51329000
2024-10-28 01:15:00,67890.95000000,67890.95000000,67763.50000000,67797.99000000,109.14323000
2024-10-28 01:30:00,67797.99000000,67832.62000000,67766.00000000,67793.33000000,59.92178000
2024-10-28 01:45:00,67793.33000000,67814.00000000,67740.11000000,67751.89000000,59.32917000
2024-10-28 02:00:00,67751.89000000,67780.00000000,67677.77000000,67739.17000000,91.45922000
2024-10-28 02:15:00,67739.16000000,67860.00000000,67703.69000000,67856.69000000,85.23866000
2024-10-28 02:30:00,67856.69000000,67856.69000000,67740.00000000,67772.87000000,208.31686000
2024-10-28 02:45:00,67772.87000000,67828.00000000,67770.05000000,67803.99000000,53.31116000
2024-10-28 03:00:00,67804.00000000,67949.32000000,67786.09000000,67924.31000000,95.90798000
2024-10-28 03:15:00,67924.31000000,67991.28000000,67868.51000000,67930.14000000,68.12125000
2024-10-28 03:30:00,67930.13000000,67952.67000000,67775.00000000,67815.80000000,177.99100000
2024-10-28 03:45:00,67815.81000000,67815.81000000,67700.51000000,67727.59000000,107.89547000
2024-10-28 04:00:00,67727.59000000,67800.00000000,67680.66000000,67799.99000000,130.44457000
2024-10-28 04:15:00,67800.00000000,67800.00000000,67636.44000000,67671.93000000,146.67727000
2024-10-28 04:30:00,67671.93000000,67710.51000000,67648.81000000,67674.03000000,63.12199000
2024-10-28 04:45:00,67674.03000000,67774.71000000,67674.02000000,67744.29000000,150.32568000
2024-10-28 05:00:00,67744.30000000,67753.59000000,67700.00000000,67701.63000000,41.72008000
2024-10-28 05:15:00,67701.63000000,67754.00000000,67700.79000000,67705.00000000,56.78339000
2024-10-28 05:30:00,67705.00000000,67786.00000000,67618.00000000,67761.63000000,159.33540000
2024-10-28 05:45:00,67761.64000000,67964.10000000,67748.34000000,67909.85000000,96.27654000
2024-10-28 06:00:00,67909.85000000,67939.40000000,67846.19000000,67854.00000000,184.99838000
2024-10-28 06:15:00,67854.01000000,67898.62000000,67805.19000000,67828.90000000,120.37495000
2024-10-28 06:30:00,67828.90000000,67902.33000000,67800.00000000,67898.00000000,93.09106000
2024-10-28 06:45:00,67898.00000000,67959.15000000,67897.99000000,67959.15000000,69.04532000
2024-10-28 07:00:00,67959.15000000,68460.00000000,67959.15000000,68450.00000000,555.84897000
2024-10-28 07:15:00,68450.00000000,68680.00000000,68380.00000000,68608.35000000,693.11818000
2024-10-28 07:30:00,68608.35000000,68665.52000000,68425.42000000,68479.99000000,407.70392000
2024-10-28 07:45:00,68479.99000000,68520.00000000,68349.20000000,68415.52000000,259.57987000
2024-10-28 08:00:00,68415.52000000,68531.98000000,68415.51000000,68531.97000000,280.20094000
2024-10-28 08:15:00,68531.98000000,68596.00000000,68429.07000000,68454.54000000,169.45148000
2024-10-28 08:30:00,68454.54000000,68454.55000000,68337.23000000,68360.00000000,96.06807000
2024-10-28 08:45:00,68359.99000000,68418.00000000,68328.00000000,68328.00000000,115.07151000
2024-10-28 09:00:00,68328.00000000,68468.00000000,68272.72000000,68399.99000000,147.94429000
2024-10-28 09:15:00,68400.00000000,68407.48000000,68271.52000000,68297.51000000,123.75859000
2024-10-28 09:30:00,68297.51000000,68337.18000000,68238.81000000,68337.18000000,131.42813000
2024-10-28 09:45:00,68337.17000000,68614.09000000,68337.17000000,68574.00000000,233.83048000
2024-10-28 10:00:00,68573.99000000,68657.10000000,68548.00000000,68589.12000000,184.08210000
2024-10-28 10:15:00,68589.12000000,68740.00000000,68575.75000000,68739.99000000,153.19569000
2024-10-28 10:30:00,68739.99000000,68833.57000000,68708.00000000,68734.88000000,278.41186000
2024-10-28 10:45:00,68734.88000000,68734.88000000,68620.01000000,68625.87000000,169.35688000
2024-10-28 11:00:00,68625.86000000,68674.00000000,68490.00000000,68661.62000000,166.63522000
2024-10-28 11:15:00,68661.62000000,68756.30000000,68581.87000000,68737.87000000,115.65844000
2024-10-28 11:30:00,68737.86000000,68768.57000000,68650.07000000,68692.88000000,145.12493000
2024-10-28 11:45:00,68692.88000000,68754.00000000,68673.78000000,68753.78000000,158.63673000
2024-10-28 12:00:00,68753.78000000,68859.45000000,68590.00000000,68689.75000000,330.53860000
2024-10-28 12:15:00,68689.75000000,68947.99000000,68689.74000000,68923.08000000,338.78858000
2024-10-28 12:30:00,68923.07000000,69063.62000000,68789.00000000,68959.98000000,671.09604000
2024-10-28 12:45:00,68959.99000000,69050.00000000,68834.29000000,68908.01000000,532.01435000
2024-10-28 13:00:00,68908.00000000,69063.62000000,68864.29000000,69032.00000000,456.02030000
2024-10-28 13:15:00,69031.99000000,69095.91000000,68933.09000000,68963.99000000,287.81082000
2024-10-28 13:30:00,68964.00000000,69215.00000000,68777.00000000,69062.00000000,876.84204000
